county_name,state
Ada County,Idaho
Adams County,Colorado
Alameda County,California
Allegheny County,Pennsylvania
Anne Arundel County,Maryland
Arapahoe County,Colorado
Baltimore County,Maryland
Baltimore city,Maryland
Bergen County,New Jersey
Bernalillo County,New Mexico
Bexar County,Texas
Brevard County,Florida
Bristol County,Massachusetts
Bronx County,New York
Broward County,Florida
Bucks County,Pennsylvania
Camden County,New Jersey
Chester County,Pennsylvania
Clark County,Nevada
Clark County,Washington
Cobb County,Georgia
Collin County,Texas
Contra Costa County,California
Cook County,Illinois
Cuyahoga County,Ohio
Dallas County,Texas
Dane County,Wisconsin
Davidson County,Tennessee
DeKalb County,Georgia
Delaware County,Pennsylvania
Denton County,Texas
Denver County,Colorado
District of Columbia,District of Columbia
Douglas County,Nebraska
DuPage County,Illinois
Duval County,Florida
El Paso County,Colorado
El Paso County,Texas
Erie County,New York
Essex County,Massachusetts
Essex County,New Jersey
Fairfax County,Virginia
Fairfield County,Connecticut
Fort Bend County,Texas
Franklin County,Ohio
Fresno County,California
Fulton County,Georgia
Greenville County,South Carolina
Guilford County,North Carolina
Gwinnett County,Georgia
Hamilton County,Ohio
Harris County,Texas
Hartford County,Connecticut
Hennepin County,Minnesota
Hidalgo County,Texas
Hillsborough County,Florida
Honolulu County,Hawaii
Hudson County,New Jersey
Jackson County,Missouri
Jefferson County,Alabama
Jefferson County,Colorado
Jefferson County,Kentucky
Johnson County,Kansas
Kane County,Illinois
Kent County,Michigan
Kern County,California
King County,Washington
Kings County,New York
Lake County,Illinois
Lancaster County,Pennsylvania
Lee County,Florida
Los Angeles County,California
Macomb County,Michigan
Maricopa County,Arizona
Marion County,Indiana
Mecklenburg County,North Carolina
Miami-Dade County,Florida
Middlesex County,Massachusetts
Middlesex County,New Jersey
Milwaukee County,Wisconsin
Monmouth County,New Jersey
Monroe County,New York
Montgomery County,Maryland
Montgomery County,Ohio
Montgomery County,Pennsylvania
Montgomery County,Texas
Morris County,New Jersey
Multnomah County,Oregon
Nassau County,New York
New Castle County,Delaware
New Haven County,Connecticut
New York County,New York
Norfolk County,Massachusetts
Oakland County,Michigan
Ocean County,New Jersey
Oklahoma County,Oklahoma
Orange County,California
Orange County,Florida
Palm Beach County,Florida
Pasco County,Florida
Passaic County,New Jersey
Philadelphia County,Pennsylvania
Pierce County,Washington
Pima County,Arizona
Pinellas County,Florida
Plymouth County,Massachusetts
Polk County,Florida
Polk County,Iowa
Prince George's County,Maryland
Providence County,Rhode Island
Queens County,New York
Ramsey County,Minnesota
Riverside County,California
Sacramento County,California
Salt Lake County,Utah
San Bernardino County,California
San Diego County,California
San Francisco County,California
San Joaquin County,California
San Mateo County,California
Santa Clara County,California
Sedgwick County,Kansas
Shelby County,Tennessee
Snohomish County,Washington
Spokane County,Washington
St. Louis County,Missouri
Stanislaus County,California
Suffolk County,Massachusetts
Suffolk County,New York
Summit County,Ohio
Tarrant County,Texas
Travis County,Texas
Tulsa County,Oklahoma
Union County,New Jersey
Utah County,Utah
Ventura County,California
Volusia County,Florida
Wake County,North Carolina
Washington County,Oregon
Wayne County,Michigan
Westchester County,New York
Will County,Illinois
Williamson County,Texas
Worcester County,Massachusetts
